sample_id	tool	wall_time_ms	peak_mem_kb	n_genes	n_variants
HG00625	Aldy	1.0	0	0	0
HG00626	Aldy	0.8	0	0	0
HG00627	Aldy	0.7	0	0	0
HG00628	Aldy	0.7	0	0	0
HG00629	Aldy	0.9	0	0	0
HG00630	Aldy	1.0	0	0	0
HG00631	Aldy	1.0	0	0	0
HG00632	Aldy	1.0	0	0	0
HG00634	Aldy	1.0	0	0	0
HG00635	Aldy	0.9	0	0	0
HG00636	Aldy	1.1	0	0	0
HG00637	Aldy	1.0	0	0	0
HG00638	Aldy	0.9	0	0	0
HG00639	Aldy	1.0	0	0	0
HG00640	Aldy	0.9	0	0	0
HG00641	Aldy	1.0	0	0	0
HG00642	Aldy	0.9	0	0	0
HG00650	Aldy	0.9	0	0	0
HG00651	Aldy	0.9	0	0	0
HG00652	Aldy	0.7	0	0	0
HG00653	Aldy	0.8	0	0	0
HG00654	Aldy	1.0	0	0	0
HG00655	Aldy	1.0	0	0	0
HG00656	Aldy	0.9	0	0	0
HG00657	Aldy	0.9	0	0	0
HG00658	Aldy	0.9	0	0	0
HG00662	Aldy	0.7	0	0	0
HG00663	Aldy	0.6	0	0	0
HG00664	Aldy	0.7	0	0	0
HG00671	Aldy	0.9	0	0	0
HG00672	Aldy	0.9	0	0	0
HG00673	Aldy	0.9	0	0	0
HG00674	Aldy	0.9	0	0	0
HG00675	Aldy	0.9	0	0	0
HG00683	Aldy	0.9	0	0	0
HG00684	Aldy	1.6	0	0	0
HG00685	Aldy	1.0	0	0	0
HG00689	Aldy	0.6	0	0	0
HG00690	Aldy	0.7	0	0	0
HG00691	Aldy	0.3	0	0	0
HG00692	Aldy	0.6	0	0	0
HG00693	Aldy	0.8	0	0	0
HG00694	Aldy	0.8	0	0	0
HG00698	Aldy	0.8	0	0	0
HG00699	Aldy	1.2	0	0	0
HG00700	Aldy	0.9	0	0	0
HG00701	Aldy	1.0	0	0	0
HG00702	Aldy	1.1	0	0	0
HG00703	Aldy	0.9	0	0	0
HG00704	Aldy	0.9	0	0	0
HG00705	Aldy	0.8	0	0	0
HG00706	Aldy	0.9	0	0	0
