sample_id	tool	wall_time_ms	peak_mem_kb	n_genes	n_variants
HG00596	PharmCAT	0.3	0	21	0
HG00597	PharmCAT	0.3	0	21	0
HG00598	PharmCAT	0.3	0	21	0
HG00599	PharmCAT	0.3	0	21	0
HG00607	PharmCAT	0.3	0	21	0
HG00608	PharmCAT	0.3	0	21	0
HG00609	PharmCAT	0.3	0	21	0
HG00610	PharmCAT	0.3	0	21	0
HG00611	PharmCAT	0.3	0	21	0
HG00612	PharmCAT	0.2	0	21	0
HG00613	PharmCAT	0.3	0	21	0
HG00614	PharmCAT	0.3	0	21	0
HG00615	PharmCAT	0.3	0	21	0
HG00619	PharmCAT	0.3	0	21	0
HG00620	PharmCAT	0.3	0	21	0
HG00621	PharmCAT	0.3	0	21	0
HG00622	PharmCAT	0.3	0	21	0
HG00623	PharmCAT	0.3	0	21	0
HG00625	PharmCAT	0.3	0	21	0
HG00626	PharmCAT	0.2	0	21	0
HG00627	PharmCAT	0.3	0	21	0
HG00628	PharmCAT	0.3	0	21	0
HG00629	PharmCAT	0.3	0	21	0
HG00630	PharmCAT	0.3	0	21	0
HG00631	PharmCAT	0.3	0	21	0
HG00632	PharmCAT	0.3	0	21	0
HG00634	PharmCAT	0.3	0	21	0
HG00635	PharmCAT	0.3	0	21	0
HG00636	PharmCAT	0.3	0	21	0
HG00637	PharmCAT	0.3	0	21	0
HG00638	PharmCAT	0.3	0	21	0
HG00639	PharmCAT	0.3	0	21	0
HG00640	PharmCAT	0.3	0	21	0
HG00641	PharmCAT	0.5	0	21	0
HG00642	PharmCAT	0.3	0	21	0
HG00650	PharmCAT	0.3	0	21	0
HG00651	PharmCAT	0.3	0	21	0
HG00652	PharmCAT	0.3	0	21	0
HG00653	PharmCAT	0.3	0	21	0
HG00654	PharmCAT	0.3	0	21	0
HG00655	PharmCAT	0.3	0	21	0
HG00656	PharmCAT	0.3	0	21	0
HG00657	PharmCAT	0.3	0	21	0
HG00658	PharmCAT	0.3	0	21	0
HG00662	PharmCAT	0.3	0	21	0
